true_hypothesis,seed,model_diagnosis,repair,chosen,oracle,pre_repair_accuracy,post_repair_accuracy,affected_region_accuracy,unaffected_region_accuracy,pre_repair_unaffected_accuracy,collateral_damage,repair_success,affected_case_count,unaffected_case_count
NO_STRUCTURAL_CHANGE,9,NO_STRUCTURAL_CHANGE,NO_REPAIR,False,True,1,1,1,1,1,0,True,2,8
NO_STRUCTURAL_CHANGE,9,NO_STRUCTURAL_CHANGE,UPDATE_WORLD_MODEL,False,False,1,0.2,0,0.25,1,0.75,False,2,8
NO_STRUCTURAL_CHANGE,9,NO_STRUCTURAL_CHANGE,RECALIBRATE_SENSOR,False,False,1,0.4,0.5,0.375,1,0.625,False,2,8
NO_STRUCTURAL_CHANGE,9,NO_STRUCTURAL_CHANGE,ADD_LATENT_VARIABLE,True,False,1,0.6,1,0.5,1,0.5,False,2,8
WORLD_SHIFT,0,WORLD_SHIFT,NO_REPAIR,False,False,0.2,0.2,0,1,1,0,False,8,2
WORLD_SHIFT,0,WORLD_SHIFT,UPDATE_WORLD_MODEL,True,True,0.2,1,1,1,1,0,True,8,2
WORLD_SHIFT,0,WORLD_SHIFT,RECALIBRATE_SENSOR,False,False,0.2,0.4,0.5,0,1,1,False,8,2
WORLD_SHIFT,0,WORLD_SHIFT,ADD_LATENT_VARIABLE,False,False,0.2,0.6,0.5,1,1,0,False,8,2
WORLD_SHIFT,1,WORLD_SHIFT,NO_REPAIR,False,False,0.2,0.2,0,1,1,0,False,8,2
WORLD_SHIFT,1,WORLD_SHIFT,UPDATE_WORLD_MODEL,True,True,0.2,1,1,1,1,0,True,8,2
WORLD_SHIFT,1,WORLD_SHIFT,RECALIBRATE_SENSOR,False,False,0.2,0.4,0.5,0,1,1,False,8,2
WORLD_SHIFT,1,WORLD_SHIFT,ADD_LATENT_VARIABLE,False,False,0.2,0.6,0.5,1,1,0,False,8,2
WORLD_SHIFT,2,MISSING_LATENT_VARIABLE,NO_REPAIR,False,False,0.2,0.2,0,1,1,0,False,8,2
WORLD_SHIFT,2,MISSING_LATENT_VARIABLE,UPDATE_WORLD_MODEL,False,True,0.2,1,1,1,1,0,True,8,2
WORLD_SHIFT,2,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,False,False,0.2,0.4,0.5,0,1,1,False,8,2
WORLD_SHIFT,2,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,True,False,0.2,0.6,0.5,1,1,0,False,8,2
WORLD_SHIFT,3,WORLD_SHIFT,NO_REPAIR,False,False,0.2,0.2,0,1,1,0,False,8,2
WORLD_SHIFT,3,WORLD_SHIFT,UPDATE_WORLD_MODEL,True,True,0.2,1,1,1,1,0,True,8,2
WORLD_SHIFT,3,WORLD_SHIFT,RECALIBRATE_SENSOR,False,False,0.2,0.4,0.5,0,1,1,False,8,2
WORLD_SHIFT,3,WORLD_SHIFT,ADD_LATENT_VARIABLE,False,False,0.2,0.6,0.5,1,1,0,False,8,2
WORLD_SHIFT,4,WORLD_SHIFT,NO_REPAIR,False,False,0.2,0.2,0,1,1,0,False,8,2
WORLD_SHIFT,4,WORLD_SHIFT,UPDATE_WORLD_MODEL,True,True,0.2,1,1,1,1,0,True,8,2
WORLD_SHIFT,4,WORLD_SHIFT,RECALIBRATE_SENSOR,False,False,0.2,0.4,0.5,0,1,1,False,8,2
WORLD_SHIFT,4,WORLD_SHIFT,ADD_LATENT_VARIABLE,False,False,0.2,0.6,0.5,1,1,0,False,8,2
WORLD_SHIFT,5,WORLD_SHIFT,NO_REPAIR,False,False,0.2,0.2,0,1,1,0,False,8,2
WORLD_SHIFT,5,WORLD_SHIFT,UPDATE_WORLD_MODEL,True,True,0.2,1,1,1,1,0,True,8,2
WORLD_SHIFT,5,WORLD_SHIFT,RECALIBRATE_SENSOR,False,False,0.2,0.4,0.5,0,1,1,False,8,2
WORLD_SHIFT,5,WORLD_SHIFT,ADD_LATENT_VARIABLE,False,False,0.2,0.6,0.5,1,1,0,False,8,2
WORLD_SHIFT,6,MISSING_LATENT_VARIABLE,NO_REPAIR,False,False,0.2,0.2,0,1,1,0,False,8,2
WORLD_SHIFT,6,MISSING_LATENT_VARIABLE,UPDATE_WORLD_MODEL,False,True,0.2,1,1,1,1,0,True,8,2
WORLD_SHIFT,6,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,False,False,0.2,0.4,0.5,0,1,1,False,8,2
WORLD_SHIFT,6,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,True,False,0.2,0.6,0.5,1,1,0,False,8,2
WORLD_SHIFT,7,MISSING_LATENT_VARIABLE,NO_REPAIR,False,False,0.2,0.2,0,1,1,0,False,8,2
WORLD_SHIFT,7,MISSING_LATENT_VARIABLE,UPDATE_WORLD_MODEL,False,True,0.2,1,1,1,1,0,True,8,2
WORLD_SHIFT,7,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,True,False,0.2,0.4,0.5,0,1,1,False,8,2
WORLD_SHIFT,7,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,False,False,0.2,0.6,0.5,1,1,0,False,8,2
WORLD_SHIFT,8,MISSING_LATENT_VARIABLE,NO_REPAIR,False,False,0.2,0.2,0,1,1,0,False,8,2
WORLD_SHIFT,8,MISSING_LATENT_VARIABLE,UPDATE_WORLD_MODEL,False,True,0.2,1,1,1,1,0,True,8,2
WORLD_SHIFT,8,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,True,False,0.2,0.4,0.5,0,1,1,False,8,2
WORLD_SHIFT,8,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,False,False,0.2,0.6,0.5,1,1,0,False,8,2
WORLD_SHIFT,9,MISSING_LATENT_VARIABLE,NO_REPAIR,False,False,0.2,0.2,0,1,1,0,False,8,2
WORLD_SHIFT,9,MISSING_LATENT_VARIABLE,UPDATE_WORLD_MODEL,False,True,0.2,1,1,1,1,0,True,8,2
WORLD_SHIFT,9,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,True,False,0.2,0.4,0.5,0,1,1,False,8,2
WORLD_SHIFT,9,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,False,False,0.2,0.6,0.5,1,1,0,False,8,2
SENSOR_CORRUPTION,0,SENSOR_CORRUPTION,NO_REPAIR,False,False,0.4,0.4,0,1,1,0,False,6,4
SENSOR_CORRUPTION,0,SENSOR_CORRUPTION,UPDATE_WORLD_MODEL,False,False,0.4,0.4,0.6666666666666666,0,1,1,False,6,4
SENSOR_CORRUPTION,0,SENSOR_CORRUPTION,RECALIBRATE_SENSOR,True,True,0.4,1,1,1,1,0,True,6,4
SENSOR_CORRUPTION,0,SENSOR_CORRUPTION,ADD_LATENT_VARIABLE,False,False,0.4,0.4,0.3333333333333333,0.5,1,0.5,False,6,4
SENSOR_CORRUPTION,1,SENSOR_CORRUPTION,NO_REPAIR,False,False,0.4,0.4,0,1,1,0,False,6,4
SENSOR_CORRUPTION,1,SENSOR_CORRUPTION,UPDATE_WORLD_MODEL,False,False,0.4,0.4,0.6666666666666666,0,1,1,False,6,4
SENSOR_CORRUPTION,1,SENSOR_CORRUPTION,RECALIBRATE_SENSOR,True,True,0.4,1,1,1,1,0,True,6,4
SENSOR_CORRUPTION,1,SENSOR_CORRUPTION,ADD_LATENT_VARIABLE,False,False,0.4,0.4,0.3333333333333333,0.5,1,0.5,False,6,4
SENSOR_CORRUPTION,2,MISSING_LATENT_VARIABLE,NO_REPAIR,False,False,0.4,0.4,0,1,1,0,False,6,4
SENSOR_CORRUPTION,2,MISSING_LATENT_VARIABLE,UPDATE_WORLD_MODEL,False,False,0.4,0.4,0.6666666666666666,0,1,1,False,6,4
SENSOR_CORRUPTION,2,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,False,True,0.4,1,1,1,1,0,True,6,4
SENSOR_CORRUPTION,2,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,True,False,0.4,0.4,0.3333333333333333,0.5,1,0.5,False,6,4
SENSOR_CORRUPTION,3,SENSOR_CORRUPTION,NO_REPAIR,False,False,0.4,0.4,0,1,1,0,False,6,4
SENSOR_CORRUPTION,3,SENSOR_CORRUPTION,UPDATE_WORLD_MODEL,False,False,0.4,0.4,0.6666666666666666,0,1,1,False,6,4
SENSOR_CORRUPTION,3,SENSOR_CORRUPTION,RECALIBRATE_SENSOR,True,True,0.4,1,1,1,1,0,True,6,4
SENSOR_CORRUPTION,3,SENSOR_CORRUPTION,ADD_LATENT_VARIABLE,False,False,0.4,0.4,0.3333333333333333,0.5,1,0.5,False,6,4
SENSOR_CORRUPTION,4,SENSOR_CORRUPTION,NO_REPAIR,False,False,0.4,0.4,0,1,1,0,False,6,4
SENSOR_CORRUPTION,4,SENSOR_CORRUPTION,UPDATE_WORLD_MODEL,False,False,0.4,0.4,0.6666666666666666,0,1,1,False,6,4
SENSOR_CORRUPTION,4,SENSOR_CORRUPTION,RECALIBRATE_SENSOR,True,True,0.4,1,1,1,1,0,True,6,4
SENSOR_CORRUPTION,4,SENSOR_CORRUPTION,ADD_LATENT_VARIABLE,False,False,0.4,0.4,0.3333333333333333,0.5,1,0.5,False,6,4
SENSOR_CORRUPTION,5,SENSOR_CORRUPTION,NO_REPAIR,False,False,0.4,0.4,0,1,1,0,False,6,4
SENSOR_CORRUPTION,5,SENSOR_CORRUPTION,UPDATE_WORLD_MODEL,False,False,0.4,0.4,0.6666666666666666,0,1,1,False,6,4
SENSOR_CORRUPTION,5,SENSOR_CORRUPTION,RECALIBRATE_SENSOR,True,True,0.4,1,1,1,1,0,True,6,4
SENSOR_CORRUPTION,5,SENSOR_CORRUPTION,ADD_LATENT_VARIABLE,False,False,0.4,0.4,0.3333333333333333,0.5,1,0.5,False,6,4
SENSOR_CORRUPTION,6,SENSOR_CORRUPTION,NO_REPAIR,False,False,0.4,0.4,0,1,1,0,False,6,4
SENSOR_CORRUPTION,6,SENSOR_CORRUPTION,UPDATE_WORLD_MODEL,False,False,0.4,0.4,0.6666666666666666,0,1,1,False,6,4
SENSOR_CORRUPTION,6,SENSOR_CORRUPTION,RECALIBRATE_SENSOR,True,True,0.4,1,1,1,1,0,True,6,4
SENSOR_CORRUPTION,6,SENSOR_CORRUPTION,ADD_LATENT_VARIABLE,False,False,0.4,0.4,0.3333333333333333,0.5,1,0.5,False,6,4
SENSOR_CORRUPTION,7,NO_STRUCTURAL_CHANGE,NO_REPAIR,False,False,0.4,0.4,0,1,1,0,False,6,4
SENSOR_CORRUPTION,7,NO_STRUCTURAL_CHANGE,UPDATE_WORLD_MODEL,False,False,0.4,0.4,0.6666666666666666,0,1,1,False,6,4
SENSOR_CORRUPTION,7,NO_STRUCTURAL_CHANGE,RECALIBRATE_SENSOR,True,True,0.4,1,1,1,1,0,True,6,4
SENSOR_CORRUPTION,7,NO_STRUCTURAL_CHANGE,ADD_LATENT_VARIABLE,False,False,0.4,0.4,0.3333333333333333,0.5,1,0.5,False,6,4
SENSOR_CORRUPTION,8,SENSOR_CORRUPTION,NO_REPAIR,False,False,0.4,0.4,0,1,1,0,False,6,4
SENSOR_CORRUPTION,8,SENSOR_CORRUPTION,UPDATE_WORLD_MODEL,False,False,0.4,0.4,0.6666666666666666,0,1,1,False,6,4
SENSOR_CORRUPTION,8,SENSOR_CORRUPTION,RECALIBRATE_SENSOR,True,True,0.4,1,1,1,1,0,True,6,4
SENSOR_CORRUPTION,8,SENSOR_CORRUPTION,ADD_LATENT_VARIABLE,False,False,0.4,0.4,0.3333333333333333,0.5,1,0.5,False,6,4
SENSOR_CORRUPTION,9,MISSING_LATENT_VARIABLE,NO_REPAIR,False,False,0.4,0.4,0,1,1,0,False,6,4
SENSOR_CORRUPTION,9,MISSING_LATENT_VARIABLE,UPDATE_WORLD_MODEL,False,False,0.4,0.4,0.6666666666666666,0,1,1,False,6,4
SENSOR_CORRUPTION,9,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,True,True,0.4,1,1,1,1,0,True,6,4
SENSOR_CORRUPTION,9,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,False,False,0.4,0.4,0.3333333333333333,0.5,1,0.5,False,6,4
MISSING_LATENT_VARIABLE,0,MISSING_LATENT_VARIABLE,NO_REPAIR,False,False,0.6,0.6,0,1,1,0,False,4,6
MISSING_LATENT_VARIABLE,0,MISSING_LATENT_VARIABLE,UPDATE_WORLD_MODEL,False,False,0.6,0.6,1,0.3333333333333333,1,0.6666666666666667,False,4,6
MISSING_LATENT_VARIABLE,0,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,False,False,0.6,0.4,0.5,0.3333333333333333,1,0.6666666666666667,False,4,6
MISSING_LATENT_VARIABLE,0,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,True,True,0.6,1,1,1,1,0,True,4,6
MISSING_LATENT_VARIABLE,1,MISSING_LATENT_VARIABLE,NO_REPAIR,False,False,0.6,0.6,0,1,1,0,False,4,6
MISSING_LATENT_VARIABLE,1,MISSING_LATENT_VARIABLE,UPDATE_WORLD_MODEL,False,False,0.6,0.6,1,0.3333333333333333,1,0.6666666666666667,False,4,6
MISSING_LATENT_VARIABLE,1,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,False,False,0.6,0.4,0.5,0.3333333333333333,1,0.6666666666666667,False,4,6
MISSING_LATENT_VARIABLE,1,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,True,True,0.6,1,1,1,1,0,True,4,6
MISSING_LATENT_VARIABLE,2,MISSING_LATENT_VARIABLE,NO_REPAIR,False,False,0.6,0.6,0,1,1,0,False,4,6
MISSING_LATENT_VARIABLE,2,MISSING_LATENT_VARIABLE,UPDATE_WORLD_MODEL,False,False,0.6,0.6,1,0.3333333333333333,1,0.6666666666666667,False,4,6
MISSING_LATENT_VARIABLE,2,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,True,False,0.6,0.4,0.5,0.3333333333333333,1,0.6666666666666667,False,4,6
MISSING_LATENT_VARIABLE,2,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,False,True,0.6,1,1,1,1,0,True,4,6
MISSING_LATENT_VARIABLE,3,MISSING_LATENT_VARIABLE,NO_REPAIR,False,False,0.6,0.6,0,1,1,0,False,4,6
MISSING_LATENT_VARIABLE,3,MISSING_LATENT_VARIABLE,UPDATE_WORLD_MODEL,False,False,0.6,0.6,1,0.3333333333333333,1,0.6666666666666667,False,4,6
MISSING_LATENT_VARIABLE,3,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,False,False,0.6,0.4,0.5,0.3333333333333333,1,0.6666666666666667,False,4,6
MISSING_LATENT_VARIABLE,3,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,True,True,0.6,1,1,1,1,0,True,4,6
MISSING_LATENT_VARIABLE,4,MISSING_LATENT_VARIABLE,NO_REPAIR,True,False,0.6,0.6,0,1,1,0,False,4,6
MISSING_LATENT_VARIABLE,4,MISSING_LATENT_VARIABLE,UPDATE_WORLD_MODEL,False,False,0.6,0.6,1,0.3333333333333333,1,0.6666666666666667,False,4,6
MISSING_LATENT_VARIABLE,4,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,False,False,0.6,0.4,0.5,0.3333333333333333,1,0.6666666666666667,False,4,6
MISSING_LATENT_VARIABLE,4,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,False,True,0.6,1,1,1,1,0,True,4,6
MISSING_LATENT_VARIABLE,5,MISSING_LATENT_VARIABLE,NO_REPAIR,False,False,0.6,0.6,0,1,1,0,False,4,6
MISSING_LATENT_VARIABLE,5,MISSING_LATENT_VARIABLE,UPDATE_WORLD_MODEL,True,False,0.6,0.6,1,0.3333333333333333,1,0.6666666666666667,False,4,6
MISSING_LATENT_VARIABLE,5,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,False,False,0.6,0.4,0.5,0.3333333333333333,1,0.6666666666666667,False,4,6
MISSING_LATENT_VARIABLE,5,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,False,True,0.6,1,1,1,1,0,True,4,6
MISSING_LATENT_VARIABLE,6,MISSING_LATENT_VARIABLE,NO_REPAIR,False,False,0.6,0.6,0,1,1,0,False,4,6
MISSING_LATENT_VARIABLE,6,MISSING_LATENT_VARIABLE,UPDATE_WORLD_MODEL,False,False,0.6,0.6,1,0.3333333333333333,1,0.6666666666666667,False,4,6
MISSING_LATENT_VARIABLE,6,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,True,False,0.6,0.4,0.5,0.3333333333333333,1,0.6666666666666667,False,4,6
MISSING_LATENT_VARIABLE,6,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,False,True,0.6,1,1,1,1,0,True,4,6
MISSING_LATENT_VARIABLE,7,MISSING_LATENT_VARIABLE,NO_REPAIR,False,False,0.6,0.6,0,1,1,0,False,4,6
MISSING_LATENT_VARIABLE,7,MISSING_LATENT_VARIABLE,UPDATE_WORLD_MODEL,False,False,0.6,0.6,1,0.3333333333333333,1,0.6666666666666667,False,4,6
MISSING_LATENT_VARIABLE,7,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,False,False,0.6,0.4,0.5,0.3333333333333333,1,0.6666666666666667,False,4,6
MISSING_LATENT_VARIABLE,7,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,True,True,0.6,1,1,1,1,0,True,4,6
MISSING_LATENT_VARIABLE,8,WORLD_SHIFT,NO_REPAIR,False,False,0.6,0.6,0,1,1,0,False,4,6
MISSING_LATENT_VARIABLE,8,WORLD_SHIFT,UPDATE_WORLD_MODEL,True,False,0.6,0.6,1,0.3333333333333333,1,0.6666666666666667,False,4,6
MISSING_LATENT_VARIABLE,8,WORLD_SHIFT,RECALIBRATE_SENSOR,False,False,0.6,0.4,0.5,0.3333333333333333,1,0.6666666666666667,False,4,6
MISSING_LATENT_VARIABLE,8,WORLD_SHIFT,ADD_LATENT_VARIABLE,False,True,0.6,1,1,1,1,0,True,4,6
MISSING_LATENT_VARIABLE,9,MISSING_LATENT_VARIABLE,NO_REPAIR,False,False,0.6,0.6,0,1,1,0,False,4,6
MISSING_LATENT_VARIABLE,9,MISSING_LATENT_VARIABLE,UPDATE_WORLD_MODEL,False,False,0.6,0.6,1,0.3333333333333333,1,0.6666666666666667,False,4,6
MISSING_LATENT_VARIABLE,9,MISSING_LATENT_VARIABLE,RECALIBRATE_SENSOR,False,False,0.6,0.4,0.5,0.3333333333333333,1,0.6666666666666667,False,4,6
MISSING_LATENT_VARIABLE,9,MISSING_LATENT_VARIABLE,ADD_LATENT_VARIABLE,True,True,0.6,1,1,1,1,0,True,4,6
